date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Alabama,Cullman County,92.5,37828,32039,11875
2022-04-28T00:00:00.000,Alabama,Geneva County,92.5,12788,10595,3503
2022-04-28T00:00:00.000,Alabama,Jefferson County,92.5,473807,383780,148993
2022-04-28T00:00:00.000,Arkansas,Dallas County,90.5,4538,3972,1685
2022-04-28T00:00:00.000,Arizona,Cochise County,97.7,101231,81970,31409
2022-04-28T00:00:00.000,California,Trinity County,,,,
2022-04-28T00:00:00.000,Colorado,Crowley County,97.1,1414,1321,627
2022-04-28T00:00:00.000,Colorado,Sedgwick County,97.1,1277,1180,621
2022-04-28T00:00:00.000,Connecticut,Middlesex County,98.3,157301,135606,78237
2022-04-28T00:00:00.000,Florida,Charlotte County,98.6,149376,123710,58120
2022-04-28T00:00:00.000,Florida,Clay County,98.6,140739,118767,42704
2022-04-28T00:00:00.000,Florida,Flagler County,98.6,83791,73181,34827
2022-04-28T00:00:00.000,Florida,Lee County,98.6,558447,477985,207364
2022-04-28T00:00:00.000,Idaho,Bingham County,97.7,25352,22654,8379
2022-04-28T00:00:00.000,Illinois,Effingham County,98.3,18125,16706,8195
2022-04-28T00:00:00.000,Kansas,Edwards County,93.6,1465,1364,653
2022-04-28T00:00:00.000,Kansas,Ford County,93.6,17832,15145,5241
2022-04-28T00:00:00.000,Kansas,Lyon County,93.6,21337,19125,8721
2022-04-28T00:00:00.000,Kansas,Phillips County,93.6,2478,2266,1042
2022-04-28T00:00:00.000,Kansas,Riley County,93.6,33133,29184,16080
2022-04-28T00:00:00.000,Kansas,Washington County,93.6,3165,2924,1657
2022-04-28T00:00:00.000,Kentucky,Calloway County,94,20671,17830,7820
2022-04-28T00:00:00.000,Michigan,Charlevoix County,95.2,17404,16775,9814
2022-04-28T00:00:00.000,Michigan,Ottawa County,95.2,170348,168234,95057
2022-04-28T00:00:00.000,Michigan,Schoolcraft County,95.2,4562,4520,2658
2022-04-28T00:00:00.000,Minnesota,Sibley County,94.6,7767,7325,4382
2022-04-28T00:00:00.000,Missouri,Washington County,91.3,9283,7904,3259
2022-04-28T00:00:00.000,Mississippi,Clay County,98.1,10404,9021,3309
2022-04-28T00:00:00.000,Montana,Carter County,95.8,436,390,184
2022-04-28T00:00:00.000,Montana,Cascade County,95.8,50314,44498,18255
2022-04-28T00:00:00.000,Montana,Dawson County,95.8,3567,3249,1620
2022-04-28T00:00:00.000,Montana,Wheatland County,95.8,840,763,380
2022-04-28T00:00:00.000,North Dakota,Burke County,92.6,936,826,351
2022-04-28T00:00:00.000,North Dakota,Sargent County,92.6,2534,2281,1220
2022-04-28T00:00:00.000,Nebraska,Furnas County,90.6,,2092,1235
2022-04-28T00:00:00.000,Nebraska,Gage County,90.6,,9728,6443
2022-04-28T00:00:00.000,New Mexico,Otero County,97,49192,41219,15490
2022-04-28T00:00:00.000,New York,Clinton County,97.6,62921,58463,33383
